Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
66,"Kostas, S Aroc",BENDR: using transformers and a contrastive self-supervised learning task to learn from massive amounts of EEG data,56,2021, frontiersin.org, Frontiers in Human …,https://www.frontiersin.org/articles/10.3389/fnhum.2021.653659/full,19
90,"Siriwardhana, A Reis, R Weerasekera…","Jointly fine-tuning"" bert-like"" self supervised models to improve multimodal speech emotion recognition",76,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2008.06682,19
52," Rajpoot, MR Panicker",Subject independent emotion recognition using EEG signals employing attention driven neural networks,26,2022, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809422000696,13
32,"Song, X Jia, L Yang, L Xie",Transformer-based spatial-temporal feature learning for EEG decoding,35,2021, arxiv.org, arXiv preprint arXiv:2106.11170,https://arxiv.org/abs/2106.11170,12
1,"Wang, Y Wang, C Hu, Z Yin, Y Song",Transformers for EEG-based emotion recognition: A hierarchical spatial information learning model,19,2022, ieeexplore.ieee.org, IEEE Sensors Journal,https://ieeexplore.ieee.org/abstract/document/9684393/,10
82,"Maithri, U Raghavendra, A Gudigar…",Automated emotion recognition: Current trends and future perspectives,19,2022, Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260722000311,10
94,"Cai, J Yuan, R Zheng, L Huang, K Church",Speech Emotion Recognition with Multi-Task Learning.,28,2021, openreview.net, Interspeech,https://openreview.net/pdf?id=K90Yn2bZZ37H,9
73,"Zhao, G Jia, J Yang, G Ding…",Emotion recognition from multiple modalities: Fundamentals and methodologies,26,2021, ieeexplore.ieee.org, IEEE Signal Processing …,https://ieeexplore.ieee.org/abstract/document/9591550/,9
2,"Liu, L Zhang, H Wu, H Zhao",Transformers for EEG emotion recognition,20,2021, arxiv.org, arXiv preprint arXiv:2110.06553,https://arxiv.org/abs/2110.06553,7
37,"Jia, Y Lin, J Wang, Z Feng, X Xie…",HetEmotionNet: two-stream heterogeneous graph recurrent neural network for multi-modal emotion recognition,15,2021, dl.acm.org, Proceedings of the 29th …,https://dl.acm.org/doi/abs/10.1145/3474085.3475583,5
