,Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
0,38,"Kostas, S Aroc",BENDR: using transformers and a contrastive self-supervised learning task to learn from massive amounts of EEG data,56,2021, frontiersin.org, Frontiers in Human …,https://www.frontiersin.org/articles/10.3389/fnhum.2021.653659/full,19
1,70," Rajpoot, MR Panicker",Subject independent emotion recognition using EEG signals employing attention driven neural networks,26,2022, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809422000696,13
2,32,"Song, X Jia, L Yang, L Xie",Transformer-based spatial-temporal feature learning for EEG decoding,35,2021, arxiv.org, arXiv preprint arXiv:2106.11170,https://arxiv.org/abs/2106.11170,12
3,2,"Wang, Y Wang, C Hu, Z Yin, Y Song",Transformers for EEG-based emotion recognition: A hierarchical spatial information learning model,19,2022, ieeexplore.ieee.org, IEEE Sensors Journal,https://ieeexplore.ieee.org/abstract/document/9684393/,10
4,1,"Liu, L Zhang, H Wu, H Zhao",Transformers for EEG emotion recognition,20,2021, arxiv.org, arXiv preprint arXiv:2110.06553,https://arxiv.org/abs/2110.06553,7
5,61,"Jia, Y Lin, J Wang, Z Feng, X Xie…",HetEmotionNet: two-stream heterogeneous graph recurrent neural network for multi-modal emotion recognition,15,2021, dl.acm.org, Proceedings of the 29th …,https://dl.acm.org/doi/abs/10.1145/3474085.3475583,5
6,28," Bird, A Ekárt, DR Faria",Chatbot Interaction with Artificial Intelligence: human data augmentation with T5 and language transformer ensemble for text classification,13,2021, Springer, Journal of Ambient Intelligence and …,https://link.springer.com/article/10.1007/s12652-021-03439-8,4
7,67,Lun,A proposal for multimodal emotion recognition using aural transformers and action units on RAVDESS dataset,13,2021, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/1/327,4
8,83,"Pedoeem, G Bar Yosef, S Abittan, S Keene",Tabs: Transformer based seizure detection,9,2022, Springer, Biomedical Sensing and …,https://link.springer.com/chapter/10.1007/978-3-030-99383-2_4,4
9,27,"Tao, T Sun, A Muhamed, S Genc…",Gated transformer for decoding human brain EEG signals,11,2021, ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9630210/,4
12,82,"An, N Xu, Z Qu",Leveraging spatial-temporal convolutional features for EEG-based emotion recognition,10,2021, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809421003402,3
100,90,"Siriwardhana, A Reis, R Weerasekera…","Jointly fine-tuning"" bert-like"" self supervised models to improve multimodal speech emotion recognition",76,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2008.06682,19
101,82,"Maithri, U Raghavendra, A Gudigar…",Automated emotion recognition: Current trends and future perspectives,19,2022, Elsevier, Computer methods and …,https://www.sciencedirect.com/science/article/pii/S0169260722000311,10
102,94,"Cai, J Yuan, R Zheng, L Huang, K Church",Speech Emotion Recognition with Multi-Task Learning.,28,2021, openreview.net, Interspeech,https://openreview.net/pdf?id=K90Yn2bZZ37H,9
103,73,"Zhao, G Jia, J Yang, G Ding…",Emotion recognition from multiple modalities: Fundamentals and methodologies,26,2021, ieeexplore.ieee.org, IEEE Signal Processing …,https://ieeexplore.ieee.org/abstract/document/9591550/,9
104,81,"Shen, X Liu, X Hu, D Zhang…",Contrastive learning of subject-invariant EEG representations for cross-subject emotion recognition,10,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9748967/,5
