,Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
0,38,"Kostas, S Aroc",BENDR: using transformers and a contrastive self-supervised learning task to learn from massive amounts of EEG data,56,2021, frontiersin.org, Frontiers in Human …,https://www.frontiersin.org/articles/10.3389/fnhum.2021.653659/full,19
1,70," Rajpoot, MR Panicker",Subject independent emotion recognition using EEG signals employing attention driven neural networks,26,2022, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809422000696,13
2,32,"Song, X Jia, L Yang, L Xie",Transformer-based spatial-temporal feature learning for EEG decoding,35,2021, arxiv.org, arXiv preprint arXiv:2106.11170,https://arxiv.org/abs/2106.11170,12
3,2,"Wang, Y Wang, C Hu, Z Yin, Y Song",Transformers for EEG-based emotion recognition: A hierarchical spatial information learning model,19,2022, ieeexplore.ieee.org, IEEE Sensors Journal,https://ieeexplore.ieee.org/abstract/document/9684393/,10
4,1,"Liu, L Zhang, H Wu, H Zhao",Transformers for EEG emotion recognition,20,2021, arxiv.org, arXiv preprint arXiv:2110.06553,https://arxiv.org/abs/2110.06553,7
5,61,"Jia, Y Lin, J Wang, Z Feng, X Xie…",HetEmotionNet: two-stream heterogeneous graph recurrent neural network for multi-modal emotion recognition,15,2021, dl.acm.org, Proceedings of the 29th …,https://dl.acm.org/doi/abs/10.1145/3474085.3475583,5
6,28," Bird, A Ekárt, DR Faria",Chatbot Interaction with Artificial Intelligence: human data augmentation with T5 and language transformer ensemble for text classification,13,2021, Springer, Journal of Ambient Intelligence and …,https://link.springer.com/article/10.1007/s12652-021-03439-8,4
7,67,Lun,A proposal for multimodal emotion recognition using aural transformers and action units on RAVDESS dataset,13,2021, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/1/327,4
8,83,"Pedoeem, G Bar Yosef, S Abittan, S Keene",Tabs: Transformer based seizure detection,9,2022, Springer, Biomedical Sensing and …,https://link.springer.com/chapter/10.1007/978-3-030-99383-2_4,4
9,27,"Tao, T Sun, A Muhamed, S Genc…",Gated transformer for decoding human brain EEG signals,11,2021, ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9630210/,4
10,21,"Han, J Qiu, J Zhu, M Xu, D Weber, B Li…",An empirical exploration of cross-domain alignment between language and electroencephalogram,6,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2208.06348,3
11,55,"Wang, J Zhang, X Zhang, P Chen…",Transformer model for functional near-infrared spectroscopy classification,6,2022, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9670659/,3
12,82,"An, N Xu, Z Qu",Leveraging spatial-temporal convolutional features for EEG-based emotion recognition,10,2021, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809421003402,3
13,74,"Lin, S Fu, X Lin, L Wang",Multi-label emotion classification based on adversarial multi-task learning,3,2022, Elsevier, Information Processing & Management,https://www.sciencedirect.com/science/article/pii/S0306457322001984,2
14,54,"Kumar, A Shrimal, MS Akhtar…",Discovering emotion and reasoning its flip in multi-party conversations using masked memory network and transformer,5,2022, Elsevier,Based Systems,https://www.sciencedirect.com/science/article/pii/S0950705121011709,2
15,78,"Zhou, D Huang, C Liu, D Jiang",Objectivity meets subjectivity: A subjective and objective feature fused neural network for emotion recognition,4,2022, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494622002642,2
16,94,"Chen, S Peng, R Zeng, Z Hu, L Cao…",-Norm Broad Learning for Negative Emotion Classification in Social Networks,3,2022, ieeexplore.ieee.org, Big Data Mining and …,https://ieeexplore.ieee.org/abstract/document/9793355/,2
17,100,"Singh, R Ranjbarzadeh, K Raj, T Kumar…",Understanding EEG signals for subject-wise Definition of Armoni Activities,2,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2301.00948,2
18,5,"Li, Z Zhang, X Zhang, G Huang…",EEG-based emotion recognition via transformer neural architecture search,5,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9763316/,2
19,9,"Arjun, AS Rajpoot…",Introducing attention mechanism for EEG signals: Emotion recognition with vision transformers,7,2021, ieeexplore.ieee.org, 2021 43rd Annual …,https://ieeexplore.ieee.org/abstract/document/9629837/,2
20,3," Guo, Q Cai, JP An, PY Chen, C Ma, JH Wan…",A Transformer based neural network for emotion recognition and visualizations of crucial EEG channels,3,2022, Elsevier, Physica A: Statistical …,https://www.sciencedirect.com/science/article/pii/S0378437122004642,2
21,60,"Hu, L Chen, Y Luo, J Zhou",EEG-Based Emotion Recognition Using Convolutional Recurrent Neural Network with Multi-Head Self-Attention,2,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/1929850,1
22,64," Chien, HC Chou, CC Lee",Self-assessed Emotion Classification from Acoustic and Physiological Features within Small-group Conversation,2,2021, dl.acm.org, … of the 2021 International Conference on …,https://dl.acm.org/doi/abs/10.1145/3461615.3485411,1
23,65," Patamia, W Jin, KN Acheampong…",Transformer based multimodal speech emotion recognition with improved neural networks,2,2021, ieeexplore.ieee.org, 2021 IEEE 2nd …,https://ieeexplore.ieee.org/abstract/document/9520692/,1
24,66,"Shi, Z Chen, R Zhang",A Transformer-Based Spatial-Temporal Sleep Staging Model Through Raw EEG,2,2021, ieeexplore.ieee.org, … on High Performance Big Data and …,https://ieeexplore.ieee.org/abstract/document/9658439/,1
25,11,"Wang, WB Jiang, R Li, BL Lu",Emotion transformer fusion: Complementary representation properties of eeg and eye movements on recognizing anger and surprise,4,2021, ieeexplore.ieee.org, 2021 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9669556/,1
26,72,"Hu, W Sheng, B Dong, X Li",Tntc: two-stream network with transformer-based complementarity for gait-based emotion recognition,2,2022, ieeexplore.ieee.org,2022 IEEE …,https://ieeexplore.ieee.org/abstract/document/9746047/,1
27,50,"Du, Y Xu, X Wang, L Liu, P Ma",EEG temporal–spatial transformer for person identification,2,2022, nature.com, Scientific Reports,https://www.nature.com/articles/s41598-022-18502-3,1
28,44,Vazque,Transformer-Based Self-Supervised Learning for Emotion Recognition,2,2022, ieeexplore.ieee.org, 2022 26th …,https://ieeexplore.ieee.org/abstract/document/9956027/,1
29,6,"Tubaishat, F A",EmoPercept: EEG-based emotion classification through perceiver,2,2022, Springer, Soft Computing,https://link.springer.com/article/10.1007/s00500-021-06578-4,1
30,63,"Siddhad, A Gupta, DP Dogra, PP Roy",Efficacy of transformer networks for classification of raw EEG data,2,2022, arxiv.org, arXiv preprint arXiv:2202.05170,https://arxiv.org/abs/2202.05170,1
31,23,"Zheng, X Zhao, L Yao",Copula-based transformer in EEG to assess visual discomfort induced by stereoscopic 3D,2,2022, Elsevier, Biomedical Signal Processing and Control,https://www.sciencedirect.com/science/article/pii/S1746809422003251,1
32,89,Orlinski,MEG-driven emotion classification using convolutional and recurrent Neural Networks,0,2020, essay.utwente.nl,,http://essay.utwente.nl/82161/,0
33,88,"Khan, AV Singh, R Agrawal",Enhanced Deep Learning Hybrid Model of CNN Based on Spatial Transformer Network for Facial Expression Recognition,0,2022, World Scientific, International Journal of Pattern …,https://www.worldscientific.com/doi/abs/10.1142/S0218001422520280,0
34,99,"Vairachilai, A Bostani, A Mehbodniya, JL Webber…",Body Sensor 5 G Networks Utilising Deep Learning Architectures for Emotion Detection Based On EEG Signal Processing,0,2022, Elsevier, Optik,https://www.sciencedirect.com/science/article/pii/S0030402622017272,0
35,98,Liu,Personality classification via Weibo based on deep learning model,0,2022, ieeexplore.ieee.org, 2022 IEEE 10th International Conference on …,https://ieeexplore.ieee.org/abstract/document/10006430/,0
36,97,"Yang, J Wu, K Ikeda, G Hattori, M Sugano…",Face-mask-aware Facial Expression Recognition based on Face Parsing and Vision Transformer,1,2022, Elsevier, Pattern Recognition …,https://www.sciencedirect.com/science/article/pii/S0167865522003312,0
37,68,"Chen, Y Zhang, Y Pan, P Xu, C Guan",A Transformer-based deep neural network model for SSVEP classification,1,2022, arxiv.org, arXiv preprint arXiv:2210.04172,https://arxiv.org/abs/2210.04172,0
38,96,"Sharma, M Diwakar, C Arya",A systematic review on emotion recognition by using machine learning approaches,0,2022, aip.scitation.org, AIP Conference Proceedings,https://aip.scitation.org/doi/abs/10.1063/5.0113378,0
39,69,"Ma, C Liu, MS Ma, Y Yang, ND Truong, K Kothur…",TSD: Transformers for Seizure Detection,0,2023, biorxiv.org, bioRxiv,https://www.biorxiv.org/content/10.1101/2023.01.24.525308.abstract,0
40,8,"Sun, W Cui, S Yu, H Han, B Hu…",A Dual-Branch Dynamic Graph Convolution Based Adaptive TransFormer Feature Fusion Network for EEG Emotion Recognition,0,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9857970/,0
41,71,"Busia, A Cossettini, TM Ingolfsson…",EEGformer: Transformer-Based Epilepsy Detection on Raw EEG Traces for Low-Channel-Count Wearable Continuous Monitoring Devices,0,2022, ieeexplore.ieee.org, … Circuits and Systems …,https://ieeexplore.ieee.org/abstract/document/9948637/,0
42,95,"Deng, Z Wang, K Liu, X Xiang",A GAN model encoded by CapsEEGNet for visual EEG encoding and image reproduction,0,2023, Elsevier, Journal of Neuroscience Methods,https://www.sciencedirect.com/science/article/pii/S0165027022002734,0
43,93," Viji, J Jasper, T Latha",Efficient Emotion Based Automatic Speech Recognition Using Optimal Deep Learning Approach,0,2022, Elsevier, Optik,https://www.sciencedirect.com/science/article/pii/S0030402622016333,0
44,73,"Yunxiang, Z Kexin",Cross-corpus bimodal speech emotion recognition,0,2022, authorea.com, Authorea Preprints,https://www.authorea.com/doi/full/10.22541/au.167043076.61971339,0
45,7,"Peng, K Zhao, H Zhang, D Xu, X Kong",Temporal relative transformer encoding cooperating with channel attention for EEG emotion analysis,0,2023, Elsevier, Computers in Biology and …,https://www.sciencedirect.com/science/article/pii/S0010482523000021,0
46,75,"Zhang, H Li, J Xie",MI-CAT: A Transformer-Based Domain Adaptation Network for Motor,0,1172, papers.ssrn.com,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4331172,0
47,76,Vazque,Using Multimodal Transformers in Affective Computing,1,2021, ieeexplore.ieee.org, 2021 9th International Conference on …,https://ieeexplore.ieee.org/abstract/document/9666396/,0
48,77,"Du, Y Xu, X Wang, L Liu, P Ma",ETST: EEG Transformer for Person Identification,1,2022, researchsquare.com,,https://www.researchsquare.com/article/rs-1545508/latest.pdf,0
49,92,"Zhang, Y Hua, J Gu, Y Chen…",Dynamic hierarchical learning of temporal-spatial-spectral EEG features with transformers for cognitive workload estimation,0,2022, ieeexplore.ieee.org, 2022 41st Chinese …,https://ieeexplore.ieee.org/abstract/document/9902053/,0
50,91,"Wu, C Lian, Z Zeng, B Xu, Y Su",An Aggregated Convolutional Transformer Based on Slices and Channels for Multivariate Time Series Classification,0,2022, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9918094/,0
51,79,"Delvigne, H Wannous, JP Vandeborre…",Spatio-Temporal Analysis of Transformer based Architecture for Attention Estimation from EEG,1,2022, ieeexplore.ieee.org, 2022 26th …,https://ieeexplore.ieee.org/abstract/document/9956610/,0
52,80,"Kuang, C Michoski, W Li, R Guo",A Monotonicity Constrained Attention Module for Emotion Classification with Limited EEG Data,0,2022, Springer, … Learning with Limited and Noisy Data …,https://link.springer.com/chapter/10.1007/978-3-031-16760-7_21,0
53,62,"Bai, J Liu, F Hou, Y Chen, M Cheng, Z Mao…",Emotion recognition with residual network driven by spatial-frequency characteristics of EEG recorded from hearing-impaired adults in response to video clips,0,2023, Elsevier, Computers in Biology …,https://www.sciencedirect.com/science/article/pii/S0010482522010526,0
54,90," Chen, SK Wu, CH Hsueh…",A Deep Research on Stress Classification of Table Tennis Athletes Based on Perceived Stress Scale and EEG,0,2022, ieeexplore.ieee.org, 2022 IET International …,https://ieeexplore.ieee.org/abstract/document/9971585/,0
55,4,"Wei, Y Liu, C Li, J Cheng, R Song, X Chen",TC-Net: A Transformer Capsule Network for EEG-based emotion recognition,0,2023, Elsevier, Computers in Biology and …,https://www.sciencedirect.com/science/article/pii/S0010482522011714,0
56,84,"Xu, Y Zhao, R Zhang, T Xu",Research on Stress Reduction Model Based on Transformer,0,2022, itiis.org, KSII Transactions on Internet and Information …,"http://itiis.org/journals/tiis/digital-library/manuscript/file/38214/TIIS%20Vol%2016,%20No%2012-9.pdf",0
